WID,region,zone,woreda_name,report,pilot
126,Amhara,Awi,Ankesha,1,1
125,Amhara,Awi,Banja,0,0
124,Amhara,Awi,Dangila,0,0
128,Amhara,Awi,Fagita Lekoma,1,1
130,Amhara,Awi,Guagusa Shekudad,1,1
127,Amhara,Awi,Guangua,0,0
129,Amhara,Awi,Jawi,1,1
102,Amhara,East Gojjam,Aneded,0,0
97,Amhara,East Gojjam,Awabel,1,1
96,Amhara,East Gojjam,Baso Liben,1,2
86,Amhara,East Gojjam,Bibugn,0,0
92,Amhara,East Gojjam,Debaytelatgen,0,0
93,Amhara,East Gojjam,Debre Elias,1,1
100,Amhara,East Gojjam,Debre Markos Town,0,0
98,Amhara,East Gojjam,Dejen,0,0
90,Amhara,East Gojjam,Enarji Enawuga,0,0
89,Amhara,East Gojjam,Enebse Sar Mider,0,0
91,Amhara,East Gojjam,Enemay,0,0
88,Amhara,East Gojjam,Goncha Siso Enese,0,0
95,Amhara,East Gojjam,Gozamin,1,2
87,Amhara,East Gojjam,Hulet Iju Enesie,0,0
94,Amhara,East Gojjam,Machakel,0,0
99,Amhara,East Gojjam,Shebel Berenta,0,0
101,Amhara,East Gojjam,Sinan,0,0
0,Amhara,North Gondar,Adarkay,0,0
14,Amhara,North Gondar,Alefa,1,1
1,Amhara,North Gondar,Beyeda,0,0
11,Amhara,North Gondar,Chilga,0,0
4,Amhara,North Gondar,Dabat,0,0
3,Amhara,North Gondar,Debark,0,0
10,Amhara,North Gondar,Denbia,1,1
17,Amhara,North Gondar,Gondar Town,0,0
9,Amhara,North Gondar,Gondar Zuria,1,1
2,Amhara,North Gondar,Janamora,0,0
7,Amhara,North Gondar,Lay Armachiho,0,0
12,Amhara,North Gondar,Metema,1,1
5,Amhara,North Gondar,Mirab Armachiho,0,0
15,Amhara,North Gondar,Mirab Belesa,0,0
16,Amhara,North Gondar,Misrak Belesa,1,2
13,Amhara,North Gondar,Quara,1,2
19,Amhara,North Gondar,Tach Armachiho,0,0
20,Amhara,North Gondar,Takusa,0,0
6,Amhara,North Gondar,Tegede,0,0
18,Amhara,North Gondar,Telemt,0,0
8,Amhara,North Gondar,Wogera,0,0
75,Amhara,North Shewa,Angolelana Tera,0,0
77,Amhara,North Shewa,Ankober,0,0
69,Amhara,North Shewa,Antsokiya Gemza,1,2
76,Amhara,North Shewa,Asagirt,0,0
81,Amhara,North Shewa,Basona Worena,0,0
79,Amhara,North Shewa,Berehet,0,0
82,Amhara,North Shewa,Debre Birehan Town,0,0
70,Amhara,North Shewa,Efratana Gidim,1,2
65,Amhara,North Shewa,Ensarona Wayo,0,0
68,Amhara,North Shewa,Gishe Rabel,0,0
78,Amhara,North Shewa,Hagere Mariam Kesem,0,0
74,Amhara,North Shewa,Kewet,1,2
67,Amhara,North Shewa,Menz Gera Mider,0,0
84,Amhara,North Shewa,Menz Lalo Mider,0,0
71,Amhara,North Shewa,Menz Mama Mider,0,0
83,Amhara,North Shewa,Menz Qeya Gebreal,0,0
64,Amhara,North Shewa,Merehabete,1,2
63,Amhara,North Shewa,Mida Woremo,0,0
80,Amhara,North Shewa,Minjarina Shenkora,0,0
73,Amhara,North Shewa,Mojana Wodera,0,0
66,Amhara,North Shewa,Moretina Jiru,0,0
85,Amhara,North Shewa,Seya Deberna Wayu,0,0
139,Amhara,North Shewa,Shewa Robit,1,1
72,Amhara,North Shewa,Tarma Ber,0,0
32,Amhara,North Wollo,Bugna,1,2
42,Amhara,North Wollo,Dawunt,0,0
37,Amhara,North Wollo,Delanta,0,0
34,Amhara,North Wollo,Gidan,0,0
38,Amhara,North Wollo,Guba Lafto,0,0
39,Amhara,North Wollo,Habru,0,0
140,Amhara,North Wollo,Kobo Town,1,2
41,Amhara,North Wollo,Lasta,1,2
35,Amhara,North Wollo,Mekit,1,1
33,Amhara,North Wollo,Raya Kobo,1,1
36,Amhara,North Wollo,Wadla,0,0
40,Amhara,North Wollo,Woldia Town,0,0
134,Amhara,Oromia,Artuma Fursi,1,2
132,Amhara,Oromia,Bati,0,0
131,Amhara,Oromia,Dewa Chefa,0,0
135,Amhara,Oromia,Dewa Harewa,0,0
133,Amhara,Oromia,Jilie Timuga,1,1
136,Amhara,Oromia,Kemisie Town,0,0
31,Amhara,South Gondar,Andabiet,1,1
30,Amhara,South Gondar,Debre Tabor Town,0,0
29,Amhara,South Gondar,Dera,1,1
21,Amhara,South Gondar,Ebinat,0,0
28,Amhara,South Gondar,Estea,1,1
24,Amhara,South Gondar,Farta,0,0
23,Amhara,South Gondar,Fogera,1,1
25,Amhara,South Gondar,Lay Gayint,0,0
22,Amhara,South Gondar,Libokemkem,1,1
27,Amhara,South Gondar,Simada,0,0
26,Amhara,South Gondar,Tach Gayint,0,0
50,Amhara,South Wollo,Alebuko,0,0
46,Amhara,South Wollo,Ambassel,0,0
138,Amhara,South Wollo,Aregoba Sp. Wo.,0,0
54,Amhara,South Wollo,Borena,1,2
60,Amhara,South Wollo,Dessie Town,0,0
51,Amhara,South Wollo,Dessie Zuria,0,0
56,Amhara,South Wollo,Jamma,0,0
49,Amhara,South Wollo,Kalu,1,2
55,Amhara,South Wollo,Kelela,0,0
59,Amhara,South Wollo,Kombolcha Town,0,0
45,Amhara,South Wollo,Kuta Ber,0,0
52,Amhara,South Wollo,Legambo,0,0
62,Amhara,South Wollo,Legehida,0,0
61,Amhara,South Wollo,Mehal Sayint,0,0
43,Amhara,South Wollo,Mekedela,0,0
53,Amhara,South Wollo,Sayint,0,0
47,Amhara,South Wollo,Tehulederie,1,1
44,Amhara,South Wollo,Tenta,0,0
58,Amhara,South Wollo,Wogedi,0,0
57,Amhara,South Wollo,Wore Illu,0,0
48,Amhara,South Wollo,Worebabu,0,0
121,Amhara,Waghimira,Abargelie,1,2
119,Amhara,Waghimira,Dehena,1,2
120,Amhara,Waghimira,Gazgibla,0,0
122,Amhara,Waghimira,Sehela,1,2
123,Amhara,Waghimira,Sekota Town,0,0
118,Amhara,Waghimira,Seqota,0,0
117,Amhara,Waghimira,Zequala,0,0
137,Amhara,West Gojjam,Bahir Dar Town,0,0
104,Amhara,West Gojjam,Bahir Dar Zuria,1,1
112,Amhara,West Gojjam,Burie Zuria,1,1
109,Amhara,West Gojjam,Dega Damot,0,0
110,Amhara,West Gojjam,Dembecha,1,1
116,Amhara,West Gojjam,Finoteselam Town,0,0
114,Amhara,West Gojjam,Gonji Kolela,1,1
111,Amhara,West Gojjam,Jabi Tehnan,1,1
106,Amhara,West Gojjam,Mecha,1,1
103,Amhara,West Gojjam,North Achefer,1,1
108,Amhara,West Gojjam,Quarit,0,0
107,Amhara,West Gojjam,Sekela,0,0
115,Amhara,West Gojjam,South Achefer,1,1
113,Amhara,West Gojjam,Womberma,1,1
105,Amhara,West Gojjam,Yilmana Densa,1,1
