environ_var_code,woreda_name,WID,week_epidemiar,ref_value,ref_sd,ref_n,ref_max,ref_uq,ref_median,ref_lq,ref_min,old_environ_var_code
tmpart,Abargelie,121,1,0.645849064904531,0.766507885488559,15,3.18896375830072,0.810417117914451,0.519227736712556,0.210937409396177,0.0663660437508055,tmpart
tmpac,Abargelie,121,1,9.71948216664578,16.4855858527613,15,57.0573271590357,11.7753738837502,0.322439412463715,5.4936130632755e-4,0,tmpac
totprec,Abargelie,121,1,8.98520965515591,16.6662416569348,15,57.0573271590357,11.678340821722,0.18224359010116,5.4936130632755e-4,0,pmmc
lst_day,Abargelie,121,1,35.2021712529613,0.903809259488466,15,36.1954775341929,35.8313545092501,35.4380721196515,34.6249431092594,33.1978321984725,lstd
lst_mean,Abargelie,121,1,27.4459710109635,0.497088561773097,15,28.0971686313609,27.8634832458436,27.5065558142162,26.9865872223174,26.4221041765856,lstm
lst_night,Abargelie,121,1,19.6897707640661,0.57047766339947,15,20.5534611146103,20.0123079276836,19.774092422666,19.4614366318488,18.3669672915471,lstn
ndvi,Abargelie,121,1,0.220378416508038,0.0138308779944444,15,0.251185744368598,0.230883030043935,0.215307505683872,0.209163392383462,0.204813765017013,ndvi
savi,Abargelie,121,1,0.142514518027363,0.00851366944522975,15,0.16065684145304,0.150920011242118,0.13847199248123301,0.13592069233773,0.134548242476212,savi
evi,Abargelie,121,1,0.1259465090149,0.00810621613425301,15,0.143314560877424,0.133709034977293,0.122390848066883,0.119990960016106,0.118143354134308,evi
ndwi5,Abargelie,121,1,-0.0935212452500157,0.00478748711353284,15,-0.0871036124913147,-0.0892893335109359,-0.0927351714107939,-0.0968892846324284,-0.105644878476007,ndwi5
ndwi6,Abargelie,121,1,-0.0771929875306051,0.0118131425855329,15,-0.0563358262029549,-0.0678212979370141,-0.0760387763985581,-0.0836586454638562,-0.101065081085664,ndwi6
tmpart,Abargelie,121,2,3.16880807781287,3.8318584271813,15,14.3044549591434,3.83722905296413,1.78129924285686,0.840252497569066,0.00378393189247428,tmpart
