woreda_name,cluster_id
Denbia,2
North Achefer,8
Bahir Dar Zuria,2
Yilmana Densa,7
Mecha,8
Dembecha,8
Jabi Tehnan,2
Burie Zuria,9
Womberma,2
Gonji Kolela,7
South Achefer,2
Dehena,1
Metema,9
Abargelie,1
Sehela,1
Ankesha,2
Fagita Lekoma,4
Jawi,8
Quara,9
Guagusa Shekudad,4
Jilie Timuga,6
Artuma Fursi,6
Shewa Robit,6
Alefa,8
Kobo Town,4
Misrak Belesa,4
Libokemkem,7
Fogera,2
Estea,4
Dera,4
Andabiet,4
Bugna,1
Raya Kobo,3
Mekit,5
Lasta,8
Tehulederie,3
Kalu,3
Borena,1
Merehabete,5
Antsokiya Gemza,3
Efratana Gidim,6
Kewet,6
Gondar Zuria,7
Debre Elias,9
Gozamin,9
Baso Liben,9
Awabel,3
