wid,woreda,doy,year,totprec
74,Kewet,1.0,2012.0,0.0
133,Jilie Timuga,1.0,2012.0,0.00661185249419406
70,Efratana Gidim,1.0,2012.0,0.024643147926706396
134,Artuma Fursi,1.0,2012.0,0.003951715737427653
131,Dewa Chefa,1.0,2012.0,0.0
135,Dewa Harewa,1.0,2012.0,0.0
132,Bati,1.0,2012.0,0.0
138,Aregoba Sp. Wo.,1.0,2012.0,0.0
49,Kalu,1.0,2012.0,0.0
48,Worebabu,1.0,2012.0,0.002841387005349838
121,Abargelie,1.0,2012.0,0.0
33,Raya Kobo,1.0,2012.0,0.0
39,Habru,1.0,2012.0,0.0028400730388196066
38,Guba Lafto,1.0,2012.0,3.3786170965711326
34,Gidan,1.0,2012.0,2.435510536703746
40,Woldia Town,1.0,2012.0,0.0
46,Ambassel,1.0,2012.0,0.0464558803129825
37,Delanta,1.0,2012.0,2.589308645385199
140,Kobo Town,1.0,2012.0,0.0
41,Lasta,1.0,2012.0,0.6043011896628482
120,Gazgibla,1.0,2012.0,0.0
35,Mekit,1.0,2012.0,0.6907818840066049
36,Wadla,1.0,2012.0,1.996728456089577
32,Bugna,1.0,2012.0,0.0
119,Dehena,1.0,2012.0,0.0
117,Zequala,1.0,2012.0,0.0
118,Seqota,1.0,2012.0,0.0
123,Sekota Town,1.0,2012.0,0.0
122,Sehela,1.0,2012.0,0.048321327062835255
1,Beyeda,1.0,2012.0,0.2031671845801544
2,Janamora,1.0,2012.0,0.05429059884238056
16,Misrak Belesa,1.0,2012.0,0.0
21,Ebinat,1.0,2012.0,0.018365936565363932
8,Wogera,1.0,2012.0,0.0
15,Mirab Belesa,1.0,2012.0,0.0
3,Debark,1.0,2012.0,0.0641535487453696
4,Dabat,1.0,2012.0,0.028122129027691907
19,Tach Armachiho,1.0,2012.0,0.0
6,Tegede,1.0,2012.0,0.012820805644260374
7,Lay Armachiho,1.0,2012.0,0.0
17,Gondar Town,1.0,2012.0,0.0
9,Gondar Zuria,1.0,2012.0,0.0
22,Libokemkem,1.0,2012.0,0.0
10,Denbia,1.0,2012.0,0.0
23,Fogera,1.0,2012.0,0.0
24,Farta,1.0,2012.0,0.016619503433640805
25,Lay Gayint,1.0,2012.0,0.14072204726554816
26,Tach Gayint,1.0,2012.0,0.0
27,Simada,1.0,2012.0,0.0
43,Mekedela,1.0,2012.0,0.0
53,Sayint,1.0,2012.0,0.0
28,Estea,1.0,2012.0,0.0
31,Andabiet,1.0,2012.0,0.0
30,Debre Tabor Town,1.0,2012.0,0.0
29,Dera,1.0,2012.0,0.0
104,Bahir Dar Zuria,1.0,2012.0,0.0
137,Bahir Dar Town,1.0,2012.0,0.0
105,Yilmana Densa,1.0,2012.0,0.0
87,Hulet Iju Enesie,1.0,2012.0,0.0
114,Gonji Kolela,1.0,2012.0,0.0
109,Dega Damot,1.0,2012.0,0.0
106,Mecha,1.0,2012.0,0.0
108,Quarit,1.0,2012.0,0.0
107,Sekela,1.0,2012.0,0.0
111,Jabi Tehnan,1.0,2012.0,0.0
86,Bibugn,1.0,2012.0,0.0
90,Enarji Enawuga,1.0,2012.0,0.0
88,Goncha Siso Enese,1.0,2012.0,0.0
89,Enebse Sar Mider,1.0,2012.0,0.0
61,Mehal Sayint,1.0,2012.0,0.0
54,Borena,1.0,2012.0,0.0
58,Wogedi,1.0,2012.0,0.0
52,Legambo,1.0,2012.0,0.0
55,Kelela,1.0,2012.0,0.0
62,Legehida,1.0,2012.0,0.0
56,Jamma,1.0,2012.0,0.0
44,Tenta,1.0,2012.0,0.0
51,Dessie Zuria,1.0,2012.0,0.0
42,Dawunt,1.0,2012.0,0.0
45,Kuta Ber,1.0,2012.0,0.02177279475793861
60,Dessie Town,1.0,2012.0,0.0030347894975231208
47,Tehulederie,1.0,2012.0,0.11151597562656745
59,Kombolcha Town,1.0,2012.0,0.0
50,Alebuko,1.0,2012.0,0.0
57,Wore Illu,1.0,2012.0,0.0
68,Gishe Rabel,1.0,2012.0,0.0
67,Menz Gera Mider,1.0,2012.0,0.005935469550276011
69,Antsokiya Gemza,1.0,2012.0,0.0029786275229722148
136,Kemisie Town,1.0,2012.0,0.0
71,Menz Mama Mider,1.0,2012.0,4.757492556642946E-4
84,Menz Lalo Mider,1.0,2012.0,0.0
139,Shewa Robit,1.0,2012.0,0.0
72,Tarma Ber,1.0,2012.0,0.0
73,Mojana Wodera,1.0,2012.0,0.0
83,Menz Qeya Gebreal,1.0,2012.0,0.0
63,Mida Woremo,1.0,2012.0,0.0
64,Merehabete,1.0,2012.0,0.0
66,Moretina Jiru,1.0,2012.0,0.0
81,Basona Worena,1.0,2012.0,0.0
85,Seya Deberna Wayu,1.0,2012.0,0.0
65,Ensarona Wayo,1.0,2012.0,0.0
75,Angolelana Tera,1.0,2012.0,0.0
76,Asagirt,1.0,2012.0,0.0
77,Ankober,1.0,2012.0,0.0
82,Debre Birehan Town,1.0,2012.0,0.0
79,Berehet,1.0,2012.0,0.0
80,Minjarina Shenkora,1.0,2012.0,0.0
78,Hagere Mariam Kesem,1.0,2012.0,0.0
96,Baso Liben,1.0,2012.0,0.0
93,Debre Elias,1.0,2012.0,0.0
95,Gozamin,1.0,2012.0,0.0
102,Aneded,1.0,2012.0,0.0
97,Awabel,1.0,2012.0,0.0
99,Shebel Berenta,1.0,2012.0,0.0
98,Dejen,1.0,2012.0,0.0
92,Debaytelatgen,1.0,2012.0,0.0
91,Enemay,1.0,2012.0,0.0
101,Sinan,1.0,2012.0,0.0
110,Dembecha,1.0,2012.0,0.0
94,Machakel,1.0,2012.0,0.0
100,Debre Markos Town,1.0,2012.0,0.0
116,Finoteselam Town,1.0,2012.0,0.0
112,Burie Zuria,1.0,2012.0,0.0
130,Guagusa Shekudad,1.0,2012.0,0.0
125,Banja,1.0,2012.0,0.0
126,Ankesha,1.0,2012.0,0.0
113,Womberma,1.0,2012.0,0.0
127,Guangua,1.0,2012.0,0.0
13,Quara,1.0,2012.0,0.0
129,Jawi,1.0,2012.0,0.0
115,South Achefer,1.0,2012.0,0.0
124,Dangila,1.0,2012.0,0.0
128,Fagita Lekoma,1.0,2012.0,0.0
103,North Achefer,1.0,2012.0,0.0
14,Alefa,1.0,2012.0,0.0
20,Takusa,1.0,2012.0,0.0
12,Metema,1.0,2012.0,0.0
11,Chilga,1.0,2012.0,0.0
5,Mirab Armachiho,1.0,2012.0,0.0
0,Adarkay,1.0,2012.0,0.0037222308113639777
18,Telemt,1.0,2012.0,0.0
74,Kewet,2.0,2012.0,0.0
133,Jilie Timuga,2.0,2012.0,0.00661185249419406
70,Efratana Gidim,2.0,2012.0,0.024643147926706396
134,Artuma Fursi,2.0,2012.0,0.003951715737427653
131,Dewa Chefa,2.0,2012.0,0.0
135,Dewa Harewa,2.0,2012.0,0.0
132,Bati,2.0,2012.0,0.0
138,Aregoba Sp. Wo.,2.0,2012.0,0.0
49,Kalu,2.0,2012.0,0.0
48,Worebabu,2.0,2012.0,0.0
121,Abargelie,2.0,2012.0,0.0828711487970318
33,Raya Kobo,2.0,2012.0,0.0
39,Habru,2.0,2012.0,0.0
38,Guba Lafto,2.0,2012.0,0.821763660622615
34,Gidan,2.0,2012.0,0.7291096598058364
40,Woldia Town,2.0,2012.0,0.0
46,Ambassel,2.0,2012.0,0.0
37,Delanta,2.0,2012.0,0.3012271323613024
140,Kobo Town,2.0,2012.0,0.0
41,Lasta,2.0,2012.0,0.35708706920210925
120,Gazgibla,2.0,2012.0,0.0
35,Mekit,2.0,2012.0,0.38147110852588456
36,Wadla,2.0,2012.0,0.29001580081964445
32,Bugna,2.0,2012.0,0.0
119,Dehena,2.0,2012.0,0.0
117,Zequala,2.0,2012.0,0.041136924881270444
118,Seqota,2.0,2012.0,0.0
123,Sekota Town,2.0,2012.0,0.0
122,Sehela,2.0,2012.0,0.1436547116272081
1,Beyeda,2.0,2012.0,0.22604766788543498
2,Janamora,2.0,2012.0,0.05429059884238056
16,Misrak Belesa,2.0,2012.0,0.0
21,Ebinat,2.0,2012.0,0.0
8,Wogera,2.0,2012.0,0.0
15,Mirab Belesa,2.0,2012.0,0.0
3,Debark,2.0,2012.0,0.0
4,Dabat,2.0,2012.0,0.0
19,Tach Armachiho,2.0,2012.0,0.0
6,Tegede,2.0,2012.0,0.0
7,Lay Armachiho,2.0,2012.0,0.0
17,Gondar Town,2.0,2012.0,0.0
9,Gondar Zuria,2.0,2012.0,0.09645775417894698
22,Libokemkem,2.0,2012.0,0.21850625313816463
10,Denbia,2.0,2012.0,0.0
23,Fogera,2.0,2012.0,0.9662355834468158
24,Farta,2.0,2012.0,0.0
25,Lay Gayint,2.0,2012.0,0.0
26,Tach Gayint,2.0,2012.0,0.0
27,Simada,2.0,2012.0,0.0
43,Mekedela,2.0,2012.0,0.9189474952334454
53,Sayint,2.0,2012.0,0.06534099984537141
28,Estea,2.0,2012.0,0.0
31,Andabiet,2.0,2012.0,0.0
30,Debre Tabor Town,2.0,2012.0,0.0
29,Dera,2.0,2012.0,0.4070207595934069
104,Bahir Dar Zuria,2.0,2012.0,0.0841680379926503
137,Bahir Dar Town,2.0,2012.0,0.36090798676013947
105,Yilmana Densa,2.0,2012.0,0.0
87,Hulet Iju Enesie,2.0,2012.0,0.0
114,Gonji Kolela,2.0,2012.0,0.0
109,Dega Damot,2.0,2012.0,0.0
106,Mecha,2.0,2012.0,0.0
108,Quarit,2.0,2012.0,0.0
107,Sekela,2.0,2012.0,0.0
111,Jabi Tehnan,2.0,2012.0,0.0
86,Bibugn,2.0,2012.0,0.0
90,Enarji Enawuga,2.0,2012.0,0.0
88,Goncha Siso Enese,2.0,2012.0,0.0
89,Enebse Sar Mider,2.0,2012.0,0.0
61,Mehal Sayint,2.0,2012.0,0.0
54,Borena,2.0,2012.0,0.0
58,Wogedi,2.0,2012.0,0.0
52,Legambo,2.0,2012.0,0.032210137946415564
55,Kelela,2.0,2012.0,8.162178086861696E-5
62,Legehida,2.0,2012.0,0.0024964410797811932
56,Jamma,2.0,2012.0,0.0
44,Tenta,2.0,2012.0,0.9835321319171292
51,Dessie Zuria,2.0,2012.0,0.0
42,Dawunt,2.0,2012.0,0.0
45,Kuta Ber,2.0,2012.0,0.0
60,Dessie Town,2.0,2012.0,0.0
47,Tehulederie,2.0,2012.0,0.0
59,Kombolcha Town,2.0,2012.0,0.0
50,Alebuko,2.0,2012.0,0.0
57,Wore Illu,2.0,2012.0,0.0
68,Gishe Rabel,2.0,2012.0,0.0
67,Menz Gera Mider,2.0,2012.0,0.005935469550276011
69,Antsokiya Gemza,2.0,2012.0,0.0029786275229722148
136,Kemisie Town,2.0,2012.0,0.0
71,Menz Mama Mider,2.0,2012.0,4.757492556642946E-4
84,Menz Lalo Mider,2.0,2012.0,0.0
139,Shewa Robit,2.0,2012.0,0.0
72,Tarma Ber,2.0,2012.0,0.0
73,Mojana Wodera,2.0,2012.0,0.0
83,Menz Qeya Gebreal,2.0,2012.0,0.0
63,Mida Woremo,2.0,2012.0,0.0
64,Merehabete,2.0,2012.0,0.0
66,Moretina Jiru,2.0,2012.0,0.0
81,Basona Worena,2.0,2012.0,0.0
85,Seya Deberna Wayu,2.0,2012.0,0.0
65,Ensarona Wayo,2.0,2012.0,0.0
75,Angolelana Tera,2.0,2012.0,0.0
76,Asagirt,2.0,2012.0,0.0
77,Ankober,2.0,2012.0,0.0
82,Debre Birehan Town,2.0,2012.0,0.0
79,Berehet,2.0,2012.0,0.0
80,Minjarina Shenkora,2.0,2012.0,0.0
78,Hagere Mariam Kesem,2.0,2012.0,0.0
96,Baso Liben,2.0,2012.0,0.0
93,Debre Elias,2.0,2012.0,0.0
95,Gozamin,2.0,2012.0,0.0
102,Aneded,2.0,2012.0,0.0
97,Awabel,2.0,2012.0,0.0
99,Shebel Berenta,2.0,2012.0,0.0
98,Dejen,2.0,2012.0,0.0
92,Debaytelatgen,2.0,2012.0,0.0
91,Enemay,2.0,2012.0,0.0
101,Sinan,2.0,2012.0,0.0
110,Dembecha,2.0,2012.0,0.0
94,Machakel,2.0,2012.0,0.0
100,Debre Markos Town,2.0,2012.0,0.0
116,Finoteselam Town,2.0,2012.0,0.0
112,Burie Zuria,2.0,2012.0,0.0
130,Guagusa Shekudad,2.0,2012.0,0.0
125,Banja,2.0,2012.0,0.0
126,Ankesha,2.0,2012.0,0.0
113,Womberma,2.0,2012.0,0.0
127,Guangua,2.0,2012.0,0.0
13,Quara,2.0,2012.0,0.0
129,Jawi,2.0,2012.0,0.0
115,South Achefer,2.0,2012.0,0.0
124,Dangila,2.0,2012.0,0.0
128,Fagita Lekoma,2.0,2012.0,0.0
103,North Achefer,2.0,2012.0,0.0
14,Alefa,2.0,2012.0,0.0
20,Takusa,2.0,2012.0,0.0
12,Metema,2.0,2012.0,0.0
11,Chilga,2.0,2012.0,0.0
5,Mirab Armachiho,2.0,2012.0,0.0
0,Adarkay,2.0,2012.0,0.0
18,Telemt,2.0,2012.0,0.0
74,Kewet,3.0,2012.0,0.0
133,Jilie Timuga,3.0,2012.0,0.0
70,Efratana Gidim,3.0,2012.0,0.0
