wid,woreda,doy,year,totprec
74,Kewet,358.0,2018.0,0.0
133,Jilie Timuga,358.0,2018.0,0.0
70,Efratana Gidim,358.0,2018.0,0.0
134,Artuma Fursi,358.0,2018.0,0.0
131,Dewa Chefa,358.0,2018.0,0.0
135,Dewa Harewa,358.0,2018.0,0.0
132,Bati,358.0,2018.0,0.0
138,Aregoba Sp. Wo.,358.0,2018.0,0.0
49,Kalu,358.0,2018.0,0.0
48,Worebabu,358.0,2018.0,0.0
121,Abargelie,358.0,2018.0,0.0
33,Raya Kobo,358.0,2018.0,0.0
39,Habru,358.0,2018.0,0.0
38,Guba Lafto,358.0,2018.0,0.0
34,Gidan,358.0,2018.0,0.0
40,Woldia Town,358.0,2018.0,0.0
46,Ambassel,358.0,2018.0,0.0
37,Delanta,358.0,2018.0,0.0
140,Kobo Town,358.0,2018.0,0.0
41,Lasta,358.0,2018.0,0.0
120,Gazgibla,358.0,2018.0,0.0
35,Mekit,358.0,2018.0,0.0
36,Wadla,358.0,2018.0,0.0
32,Bugna,358.0,2018.0,0.0
119,Dehena,358.0,2018.0,0.0
117,Zequala,358.0,2018.0,0.0
118,Seqota,358.0,2018.0,0.0
123,Sekota Town,358.0,2018.0,0.0
122,Sehela,358.0,2018.0,0.0
1,Beyeda,358.0,2018.0,0.0
2,Janamora,358.0,2018.0,0.0
16,Misrak Belesa,358.0,2018.0,0.0
21,Ebinat,358.0,2018.0,0.0
8,Wogera,358.0,2018.0,0.0
15,Mirab Belesa,358.0,2018.0,0.0
3,Debark,358.0,2018.0,0.0
4,Dabat,358.0,2018.0,0.0
19,Tach Armachiho,358.0,2018.0,0.0
6,Tegede,358.0,2018.0,0.0
7,Lay Armachiho,358.0,2018.0,0.0
17,Gondar Town,358.0,2018.0,0.0
9,Gondar Zuria,358.0,2018.0,0.0
22,Libokemkem,358.0,2018.0,0.0
10,Denbia,358.0,2018.0,0.0
23,Fogera,358.0,2018.0,0.0
24,Farta,358.0,2018.0,0.0
25,Lay Gayint,358.0,2018.0,0.0
26,Tach Gayint,358.0,2018.0,0.0
27,Simada,358.0,2018.0,0.0
43,Mekedela,358.0,2018.0,0.0
53,Sayint,358.0,2018.0,0.0
28,Estea,358.0,2018.0,0.0
31,Andabiet,358.0,2018.0,0.0
30,Debre Tabor Town,358.0,2018.0,0.0
29,Dera,358.0,2018.0,0.0
104,Bahir Dar Zuria,358.0,2018.0,0.00581402746028226
137,Bahir Dar Town,358.0,2018.0,0.0
105,Yilmana Densa,358.0,2018.0,0.9491618524906913
87,Hulet Iju Enesie,358.0,2018.0,0.007407379047855734
114,Gonji Kolela,358.0,2018.0,0.0
109,Dega Damot,358.0,2018.0,0.9962934277006574
106,Mecha,358.0,2018.0,0.5436421328780926
108,Quarit,358.0,2018.0,0.8868771939934322
107,Sekela,358.0,2018.0,1.7431494302308612
111,Jabi Tehnan,358.0,2018.0,0.08279977181670395
86,Bibugn,358.0,2018.0,0.10657689320151867
90,Enarji Enawuga,358.0,2018.0,0.0
88,Goncha Siso Enese,358.0,2018.0,0.0
89,Enebse Sar Mider,358.0,2018.0,0.0
61,Mehal Sayint,358.0,2018.0,0.0
54,Borena,358.0,2018.0,0.0
58,Wogedi,358.0,2018.0,0.0
52,Legambo,358.0,2018.0,0.0
55,Kelela,358.0,2018.0,0.0
62,Legehida,358.0,2018.0,0.0
56,Jamma,358.0,2018.0,0.0
44,Tenta,358.0,2018.0,0.0
51,Dessie Zuria,358.0,2018.0,0.0
42,Dawunt,358.0,2018.0,0.0
45,Kuta Ber,358.0,2018.0,0.0
60,Dessie Town,358.0,2018.0,0.0
47,Tehulederie,358.0,2018.0,0.0
59,Kombolcha Town,358.0,2018.0,0.0
50,Alebuko,358.0,2018.0,0.0
57,Wore Illu,358.0,2018.0,0.0
68,Gishe Rabel,358.0,2018.0,0.0
67,Menz Gera Mider,358.0,2018.0,0.0
69,Antsokiya Gemza,358.0,2018.0,0.0
136,Kemisie Town,358.0,2018.0,0.0
71,Menz Mama Mider,358.0,2018.0,0.0
84,Menz Lalo Mider,358.0,2018.0,0.0
139,Shewa Robit,358.0,2018.0,0.0
72,Tarma Ber,358.0,2018.0,0.0
73,Mojana Wodera,358.0,2018.0,0.0
83,Menz Qeya Gebreal,358.0,2018.0,0.0
63,Mida Woremo,358.0,2018.0,0.0
64,Merehabete,358.0,2018.0,0.0
66,Moretina Jiru,358.0,2018.0,0.0
81,Basona Worena,358.0,2018.0,0.0
85,Seya Deberna Wayu,358.0,2018.0,0.0
65,Ensarona Wayo,358.0,2018.0,0.0
75,Angolelana Tera,358.0,2018.0,0.0
76,Asagirt,358.0,2018.0,0.0
77,Ankober,358.0,2018.0,0.0
82,Debre Birehan Town,358.0,2018.0,0.0
79,Berehet,358.0,2018.0,0.0
80,Minjarina Shenkora,358.0,2018.0,0.0
78,Hagere Mariam Kesem,358.0,2018.0,0.0
96,Baso Liben,358.0,2018.0,0.0
93,Debre Elias,358.0,2018.0,0.0
95,Gozamin,358.0,2018.0,0.0
102,Aneded,358.0,2018.0,0.0
97,Awabel,358.0,2018.0,0.0
99,Shebel Berenta,358.0,2018.0,0.0
98,Dejen,358.0,2018.0,0.0
92,Debaytelatgen,358.0,2018.0,0.0
91,Enemay,358.0,2018.0,0.0
101,Sinan,358.0,2018.0,0.0
110,Dembecha,358.0,2018.0,0.021077410720036757
94,Machakel,358.0,2018.0,0.0
100,Debre Markos Town,358.0,2018.0,0.0
116,Finoteselam Town,358.0,2018.0,0.0
112,Burie Zuria,358.0,2018.0,0.0
130,Guagusa Shekudad,358.0,2018.0,1.1129228644888514E-4
125,Banja,358.0,2018.0,0.3787743309145719
126,Ankesha,358.0,2018.0,0.0239347458563115
113,Womberma,358.0,2018.0,0.0
127,Guangua,358.0,2018.0,0.05934364970498183
13,Quara,358.0,2018.0,0.0
129,Jawi,358.0,2018.0,0.04302910051048547
115,South Achefer,358.0,2018.0,1.907090899321646
124,Dangila,358.0,2018.0,1.2239376349502633
128,Fagita Lekoma,358.0,2018.0,0.7142178226334586
103,North Achefer,358.0,2018.0,0.7364532872930292
14,Alefa,358.0,2018.0,8.881806983539395E-5
20,Takusa,358.0,2018.0,0.0
12,Metema,358.0,2018.0,0.0
11,Chilga,358.0,2018.0,0.0
5,Mirab Armachiho,358.0,2018.0,0.0
0,Adarkay,358.0,2018.0,0.0
18,Telemt,358.0,2018.0,0.0
74,Kewet,359.0,2018.0,0.0
133,Jilie Timuga,359.0,2018.0,0.0
70,Efratana Gidim,359.0,2018.0,0.0
134,Artuma Fursi,359.0,2018.0,0.0
131,Dewa Chefa,359.0,2018.0,0.0
135,Dewa Harewa,359.0,2018.0,0.0
132,Bati,359.0,2018.0,0.0
138,Aregoba Sp. Wo.,359.0,2018.0,0.0
49,Kalu,359.0,2018.0,0.0
48,Worebabu,359.0,2018.0,0.0
121,Abargelie,359.0,2018.0,0.0
33,Raya Kobo,359.0,2018.0,0.0
39,Habru,359.0,2018.0,0.0
38,Guba Lafto,359.0,2018.0,0.0
34,Gidan,359.0,2018.0,0.0
40,Woldia Town,359.0,2018.0,0.0
46,Ambassel,359.0,2018.0,0.0
37,Delanta,359.0,2018.0,0.0
140,Kobo Town,359.0,2018.0,0.0
41,Lasta,359.0,2018.0,0.0
120,Gazgibla,359.0,2018.0,0.0
35,Mekit,359.0,2018.0,0.0
36,Wadla,359.0,2018.0,0.0
32,Bugna,359.0,2018.0,0.0
119,Dehena,359.0,2018.0,0.0
117,Zequala,359.0,2018.0,0.0
118,Seqota,359.0,2018.0,0.0
123,Sekota Town,359.0,2018.0,0.0
122,Sehela,359.0,2018.0,0.0
1,Beyeda,359.0,2018.0,0.0
2,Janamora,359.0,2018.0,0.0
16,Misrak Belesa,359.0,2018.0,0.0
21,Ebinat,359.0,2018.0,0.0
8,Wogera,359.0,2018.0,0.0
15,Mirab Belesa,359.0,2018.0,0.0
3,Debark,359.0,2018.0,0.0
4,Dabat,359.0,2018.0,0.0
19,Tach Armachiho,359.0,2018.0,0.0
6,Tegede,359.0,2018.0,0.0
7,Lay Armachiho,359.0,2018.0,0.0
17,Gondar Town,359.0,2018.0,0.0
9,Gondar Zuria,359.0,2018.0,0.0
22,Libokemkem,359.0,2018.0,0.0
10,Denbia,359.0,2018.0,0.0
23,Fogera,359.0,2018.0,0.0
24,Farta,359.0,2018.0,0.0
25,Lay Gayint,359.0,2018.0,0.0
26,Tach Gayint,359.0,2018.0,0.0
27,Simada,359.0,2018.0,0.0
43,Mekedela,359.0,2018.0,0.0
53,Sayint,359.0,2018.0,0.0
28,Estea,359.0,2018.0,0.0
31,Andabiet,359.0,2018.0,0.0
30,Debre Tabor Town,359.0,2018.0,0.0
29,Dera,359.0,2018.0,0.0
104,Bahir Dar Zuria,359.0,2018.0,0.0
137,Bahir Dar Town,359.0,2018.0,0.0
105,Yilmana Densa,359.0,2018.0,0.0
87,Hulet Iju Enesie,359.0,2018.0,0.0
114,Gonji Kolela,359.0,2018.0,0.0
109,Dega Damot,359.0,2018.0,0.02757493780963183
106,Mecha,359.0,2018.0,0.0
108,Quarit,359.0,2018.0,0.0
107,Sekela,359.0,2018.0,0.0
111,Jabi Tehnan,359.0,2018.0,0.0
86,Bibugn,359.0,2018.0,0.001699673312479914
90,Enarji Enawuga,359.0,2018.0,0.0
88,Goncha Siso Enese,359.0,2018.0,0.0
89,Enebse Sar Mider,359.0,2018.0,0.0
61,Mehal Sayint,359.0,2018.0,0.0
54,Borena,359.0,2018.0,0.0
58,Wogedi,359.0,2018.0,0.0
52,Legambo,359.0,2018.0,0.0
55,Kelela,359.0,2018.0,0.0
